pmId,journalTitle,title,citation,instructions,priority,creationDate,requestedBy,requestID,nesId,status,ftRetrievedFrom,fullTextURL,fullTextFile,supplementMaterial,notes,isReviewed,reviewedBy,reviewedOn,isDeleted,deletedOn,deletedBy,deleteRequestFrom,isRequested,purchaseOrSubscriptionType,cost,autoRenewalURL,autoRenewal,pubMedFTURL,ehostFTLink,isSlamRecord,costCenter,reOpened,firstCreationDate,firstRequestedBy,firstReviewedOn,firstReviewedBy,apiRequest,isExist
30002393,Scientific reports,Comparison of Image-Guided Intensity-Modulated Radiotherapy and Low-dose Rate Brachytherapy with or without External Beam Radiotherapy in Patients with Localized Prostate Cancer,Sci Rep.2018 Jul 12;8(1):10538.doi: 10.1038/s41598-018-28730-1.,Free article please download and attach PDF,Normal,2021-07-03 20:15:10,admin,93,2021070393,,Free Downloads,https://doi.org/10.1038/s41598-018-28730-1,,,,false,,null,,null,,,false,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043516/pdf/41598_2018_Article_28730.pdf,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=30002393&site=ehost-live,false,,,null,,null,,,
30002388,Scientific reports,Tunable double-Weyl Fermion semimetal state in the SrSi 2 materials class,Sci Rep.2018 Jul 12;8(1):10540.doi: 10.1038/s41598-018-28644-y.,Free article please download and attach PDF,Normal,2021-07-03 20:01:50,,92,2021070392,Open Free Full Text,Free Downloads,https://doi.org/10.1038/s41598-018-28644-y,,,,,,null,,null,,,true,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043586/pdf/41598_2018_Article_28644.pdf,,false,,,null,,null,,,
30002395,Scientific reports,Effect of unloading brace treatment on pain and function in patients with symptomatic knee osteoarthritis: the ROTOR randomized clinical trial,Sci Rep.2018 Jul 12;8(1):10519.doi: 10.1038/s41598-018-28782-3.,Free article please download and attach PDF,Normal,2021-07-03 19:58:03,,91,2021070391,Open Free Full Text,Free Downloads,https://doi.org/10.1038/s41598-018-28782-3,,,,,,null,,null,,,true,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043544/pdf/41598_2018_Article_28782.pdf,,false,,,null,,null,,,
30002312,string,Testing ID,Testing Purpose written this text,Free article please download and attach PDF,Normal,2021-06-11 11:37:25,admin,90,NES20210611009,In progress,string,,string,,string,true,,null,true,2021-06-11 11:37:24,string,string,true,,string,string,true,https://ncbi.nlm.gov.ni/pcm/PMC12345/articles/testing/1240.pdf,string,true,Dynamic Health,,2021-06-11 11:37:24,string,2021-06-11 11:37:24,string,true,
123456,Boletin de la Oficina Sanitaria Panamericana. Pan American Sanitary Bureau,[The laboratory in programs for enteric infection control],Bol Oficina Sanit Panam. 1975 Apr;78(4):318-22. ,,Normal,2020-12-09 05:51:24,plavita,87,,,,,,,,false,,null,,null,,,false,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
7810787,The American journal of sports medicine,Fate of the ACL-injured patient. A prospective outcome study;"Am J Sports Med. 1995 May-Jun;23(3):372-3",Am J Sports Med. Sep-Oct 1994;22(5):632-44. doi: 10.1177/036354659402200511.,,Normal,2020-12-09 01:49:20,plavita,86,,Cancelled Request,,,,,,false,,null,,null,,,false,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
45786,Immunopharmacology,Modulation of the acquisition and expression of immunity by Tilorone: I. Delayed-type hypersensitivity responses,Immunopharmacology. 1978 Dec;1(1):21-8. doi: 10.1016/0162-3109(78)90005-x.,,Normal,2020-12-09 01:43:44,plavita,85,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
30631070,Nature communications,Precision ultrasound sensing on a chip,Nat Commun. 2019 Jan 10;10(1):132. doi: 10.1038/s41467-018-08038-4.,Free article please download and attach PDF,,2020-12-08 15:30:30,plavita,76,,In Progress,PDF Viewer,,,,,,,null,,null,,,true,,,,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6328601/pdf/41467_2018_Article_8038.pdf,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=30631070&site=ehost-live,false,DynaMed Editorial,,null,,null,,true,
30631069,Nature communications,A metamaterial-enabled design enhancing decades-old short backfire antenna technology for space applications,Nat Commun. 2019 Jan 10;10(1):108. doi: 10.1038/s41467-018-08032-w.,Free article please download and attach PDF,Medium,2020-12-08 13:57:32,plavita,75,,In Progress,PDF Viewer,,,,,,,null,,null,,,true,,,,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6328586/pdf/41467_2018_Article_8032.pdf,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=30631069&site=ehost-live,false,DynaMed Editorial,,null,,null,,true,
31081871,JAMA neurology,Frequency of Intracranial Hemorrhage With Low-Dose Aspirin in Individuals Without Symptomatic Cardiovascular Disease: A Systematic Review and Meta-analysis,JAMA Neurol. 2019 May 13;76(8):906-914. doi: 10.1001/jamaneurol.2019.1120.,Free article please download and attach PDF,,2020-12-08 09:22:57,plavita,81,,In Progress,PDF Viewer,,,,,,,null,,null,,,true,,,,false,,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=31081871&site=ehost-live,false,DynaMed Editorial,,null,,null,,true,
27901552,Obstetrical &amp; gynecological survey,Diagnosis and Management of Hyperthyroidism in Pregnancy: A Review,Obstet Gynecol Surv. 2016 Nov;71(11):675-685. doi: 10.1097/OGX.0000000000000367.,,,2020-12-08 09:22:57,plavita,84,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
30532079,Nature reviews. Genetics,Risk loci for ADHD;"Nat Genet. 2019 Jan;51(1):63-75",Nat Rev Genet. 2019 Feb;20(2):69. doi: 10.1038/s41576-018-0084-0.,,,2020-12-08 09:22:57,plavita,83,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
29762121,Journal of surgical orthopaedic advances,Friction Syndromes of the Knee: The Iliotibial Band and Anterior Fat Pads,J Surg Orthop Adv. Spring 2018;27(1):77-80. ,,,2020-12-08 09:22:57,plavita,82,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
30659573,JAMA neurology,Worldwide Incidence of Aneurysmal Subarachnoid Hemorrhage According to Region Time Period Blood Pressure and Smoking Prevalence in the Population: A Systematic Review and Meta-analysis,JAMA Neurol. 2019 May 1;76(5):588-597. doi: 10.1001/jamaneurol.2019.0006.,Free article please download and attach PDF,,2020-12-08 09:22:57,plavita,80,,In Progress,PDF Viewer,,,,,,,null,,null,,,true,,,,false,,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=30659573&site=ehost-live,false,DynaMed Editorial,,null,,null,,true,
30569344,Archives of gynecology and obstetrics,Thyroid function and thyroid disorders during pregnancy: a review and care pathway,Arch Gynecol Obstet. 2019 Feb;299(2):327-338. doi: 10.1007/s00404-018-5018-8.,Free article please download and attach PDF,,2020-12-08 09:22:57,plavita,79,,In Progress,PDF Viewer,,,,,,,null,,null,,,true,,,,false,,http://search.ebscohost.com/login.aspx?authtype=uid&user=dmeditors&password=medicine19!&direct=true&db=mdc&AN=30569344&site=ehost-live,false,DynaMed Editorial,,null,,null,,true,
17399848,Journal of hepatology,Psoriasis patients with diabetes type 2 are at high risk of developing liver fibrosis during methotrexate treatment;"J Hepatol. 2007 Jun;46(6):995-8",J Hepatol. 2007 Jun;46(6):1111-8. doi: 10.1016/j.jhep.2007.01.024.,,,2020-12-08 09:22:57,plavita,78,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
21740842,Chinese medical journal,A new mutation in the thyroid hormone receptor gene of a Chinese family with resistance to thyroid hormone,Chin Med J (Engl). 2011 Jun;124(12):1835-9. ,,,2020-12-08 09:22:57,plavita,77,,In Progress,,,,,,,,null,,null,,,true,,,,false,,,false,DynaMed Editorial,,null,,null,,true,
